,Unnamed: 0,Subject,Start,End,Location,Start Date,Start Time
0,0,PS on HTL forward looking,2020-01-06 13:00:00,2020-01-06 13:15:00,"|| US +1-212-798-0808,,41984800#",2020-01-06,13:00:00
1,1,[EXT]Hold Line Review,2020-01-07 13:00:00,2020-01-07 13:30:00,Huddle Room B,2020-01-07,13:00:00
2,2,Business Transformation SteerCo / 10:00 am EST,2020-01-08 07:00:00,2020-01-08 09:00:00,Microsoft Teams Meeting,2020-01-08,07:00:00
3,3,ATC Team-talk revisit + Team dinner,2020-01-08 16:00:00,2020-01-08 17:00:00,Tampa team room,2020-01-08,16:00:00
4,4,[EXT]Hold the Line Guidance,2020-01-09 08:30:00,2020-01-09 09:00:00,Microsoft Teams Meeting; MFC - Board Room,2020-01-09,08:30:00
5,5,Hold the Line Follow Up Discussion,2020-01-09 11:00:00,2020-01-09 11:30:00,MFC - Conf. Room B,2020-01-09,11:00:00
6,6,Hold The Line Review,2020-01-09 12:30:00,2020-01-09 13:00:00,MFC - Conf. Room B,2020-01-09,12:30:00
7,7,Caitlin/ Kevin D Zhang Connect,2020-01-10 08:45:00,2020-01-10 09:00:00,NYO 60 N210,2020-01-10,08:45:00
8,8,TMT L1 Zoom Meeting #1: Intro to TMT Practice - Americas,2020-01-10 09:00:00,2020-01-10 10:00:00,https://mckinsey.zoom.us/j/689303024?pwd=S2pCVkFIMGMrZlF2TElkQUxDNkxMdz09,2020-01-10,09:00:00
9,9,BBBS Teambuilding,2020-01-10 10:30:00,2020-01-10 12:30:00,62-N209,2020-01-10,10:30:00
10,10,"Upcoming Adv. Industries M&A KIP (Frank Coleman, Kevin Zhang)",2020-01-16 13:30:00,2020-01-16 14:00:00,Frank to dial Kevin at +1 646 662 8035 ,2020-01-16,13:30:00
11,11,Project Rodeo - Zoom Meeting,2020-01-21 08:45:00,2020-01-21 09:15:00,Body of the invite has the instructions,2020-01-21,08:45:00
12,12,Caitlin /Kevin connect ,2020-01-22 07:00:00,2020-01-22 07:30:00,NYO 60 E109 or E110,2020-01-22,07:00:00
13,13,Connecting on TCCC-McDs,2020-01-22 13:30:00,2020-01-22 13:45:00,Call me! +1 650 276 9814,2020-01-22,13:30:00
14,14,Project Rodeo - check in,2020-01-23 07:00:00,2020-01-23 07:30:00,"|| US +1-212-798-0808,,69619574#  ; VoIP: 400-0808 PC: 69619574 ||",2020-01-23,07:00:00
